Date,Time,Virtual Memory Load [%],Physical Memory Used [MB],Physical Memory Available [MB],Physical Memory Load [%],Core VIDs (avg) [V],Core 0 VID [V],Core 1 VID [V],Core 2 VID [V],Core 3 VID [V],Uncore VID [V],SA VID [V],Core Clocks (avg) [MHz],Core 0 Clock [MHz],Core 1 Clock [MHz],Core 2 Clock [MHz],Core 3 Clock [MHz],Bus Clock [MHz],Ring/LLC Clock [MHz],Core Effective Clocks (avg) [MHz],Core 0 T0 Effective Clock [MHz],Core 0 T1 Effective Clock [MHz],Core 1 T0 Effective Clock [MHz],Core 1 T1 Effective Clock [MHz],Core 2 T0 Effective Clock [MHz],Core 2 T1 Effective Clock [MHz],Core 3 T0 Effective Clock [MHz],Core 3 T1 Effective Clock [MHz],Average Effective Clock [MHz],Core Usage (avg) [%],Core 0 T0 Usage [%],Core 0 T1 Usage [%],Core 1 T0 Usage [%],Core 1 T1 Usage [%],Core 2 T0 Usage [%],Core 2 T1 Usage [%],Core 3 T0 Usage [%],Core 3 T1 Usage [%],Max CPU/Thread Usage [%],Total CPU Usage [%],On-Demand Clock Modulation [%],Core Utility (avg) [%],Core 0 T0 Utility [%],Core 0 T1 Utility [%],Core 1 T0 Utility [%],Core 1 T1 Utility [%],Core 2 T0 Utility [%],Core 2 T1 Utility [%],Core 3 T0 Utility [%],Core 3 T1 Utility [%],Total CPU Utility [%],Core Ratios (avg) [x],Core 0 Ratio [x],Core 1 Ratio [x],Core 2 Ratio [x],Core 3 Ratio [x],Uncore Ratio [x],Core Temperatures (avg) [?],Core 0 [?],Core 1 [?],Core 2 [?],Core 3 [?],Core Distance to TjMAX (avg) [?],Core 0 Distance to TjMAX [?],Core 1 Distance to TjMAX [?],Core 2 Distance to TjMAX [?],Core 3 Distance to TjMAX [?],CPU Package [?],Core Max [?],Core Thermal Throttling (avg) [Yes/No],Core 0 Thermal Throttling [Yes/No],Core 1 Thermal Throttling [Yes/No],Core 2 Thermal Throttling [Yes/No],Core 3 Thermal Throttling [Yes/No],Core Critical Temperature (avg) [Yes/No],Core 0 Critical Temperature [Yes/No],Core 1 Critical Temperature [Yes/No],Core 2 Critical Temperature [Yes/No],Core 3 Critical Temperature [Yes/No],Core Power Limit Exceeded (avg) [Yes/No],Core 0 Power Limit Exceeded [Yes/No],Core 1 Power Limit Exceeded [Yes/No],Core 2 Power Limit Exceeded [Yes/No],Core 3 Power Limit Exceeded [Yes/No],Package/Ring Thermal Throttling [Yes/No],Package/Ring Critical Temperature [Yes/No],Package/Ring Power Limit Exceeded [Yes/No],CPU Package [?],CPU IA Cores [?],CPU GT Cores (Graphics) [?],iGPU VID [V],VR VCC Current (SVID IOUT) [A],CPU Package Power [W],IA Cores Power [W],GT Cores Power [W],Total System Power [W],System Agent Power [W],Rest-of-Chip Power [W],PCH Power [W],PL1 Power Limit (Static) [W],PL1 Power Limit (Dynamic) [W],PL2 Power Limit (Static) [W],PL2 Power Limit (Dynamic) [W],GPU Clock [MHz],GPU D3D Usage [%],GPU D3D Utilizations (avg) [%],GPU Video Decode 0 Usage [%],GPU Video Decode 1 Usage [%],GPU Video Processing 0 Usage [%],GPU Video Processing 1 Usage [%],GPU D3D Memory Dynamic [MB],Current cTDP Level [],Package C2 Residency [%],Core C0 Residency (avg) [%],Core 0 T0 C0 Residency [%],Core 0 T1 C0 Residency [%],Core 1 T0 C0 Residency [%],Core 1 T1 C0 Residency [%],Core 2 T0 C0 Residency [%],Core 2 T1 C0 Residency [%],Core 3 T0 C0 Residency [%],Core 3 T1 C0 Residency [%],Core C7 Residency (avg) [%],Core 0 C7 Residency [%],Core 1 C7 Residency [%],Core 2 C7 Residency [%],Core 3 C7 Residency [%],Memory Clock [MHz],Memory Clock Ratio [x],Tcas [T],Trcd [T],Trp [T],Tras [T],Trc [T],Trfc [T],Command Rate [T],Gear Mode [],IA Limit Reasons (avg) [Yes/No],IA: PROCHOT [Yes/No],IA: Thermal Event [Yes/No],IA: Residency State Regulation [Yes/No],IA: Running Average Thermal Limit [Yes/No],IA: VR Thermal Alert [Yes/No],IA: VR TDC [Yes/No],"IA: Electrical Design Point/Other (ICCmax,PL4,SVID,DDR RAPL) [Yes/No]",IA: Package-Level RAPL/PBM PL1 [Yes/No],"IA: Package-Level RAPL/PBM PL2,PL3 [Yes/No]",IA: Max Turbo Limit [Yes/No],IA: Turbo Attenuation (MCT) [Yes/No],GT Limit Reasons (avg) [Yes/No],GT: PROCHOT [Yes/No],GT: Thermal Event [Yes/No],GT: DDR RAPL [Yes/No],GT: Residency State Regulation [Yes/No],GT: Running Average Thermal Limit [Yes/No],GT: VR Thermal Alert [Yes/No],GT: VR TDC [Yes/No],"GT: Max VR Voltage, ICCmax, PL4 [Yes/No]",GT: Domain-Level PBM PLGT [Yes/No],GT: Package-Level RAPL/PBM PL1 [Yes/No],"GT: Package-Level RAPL/PBM PL2,PL3 [Yes/No]",GT: Inefficient Operation [Yes/No],GT: Fuses limit [Yes/No],Ring Limit Reasons (avg) [Yes/No],RING: PROCHOT [Yes/No],RING: Thermal Event [Yes/No],RING: DDR RAPL [Yes/No],RING: Residency State Regulation [Yes/No],RING: Running Average Thermal Limit [Yes/No],RING: VR Thermal Alert [Yes/No],RING: VR TDC [Yes/No],"RING: Max VR Voltage, ICCmax, PL4 [Yes/No]",RING: Package-Level RAPL/PBM PL1 [Yes/No],"RING: Package-Level RAPL/PBM PL2,PL3 [Yes/No]",Drive Temperature [?],Drive Remaining Life [%],Drive Available Spare [%],Drive Failure [Yes/No],Drive Warning [Yes/No],Total Host Writes [GB],Total Host Reads [GB],Read Activity [%],Write Activity [%],Total Activity [%],Read Rate [MB/s],Write Rate [MB/s],Read Total [MB],Write Total [MB],Battery Voltage [V],Remaining Capacity [Wh],Charge Level [%],Wear Level [%],Framerate (Presented) [FPS],Framerate (Displayed) [FPS],Frame Time [ms],GPU Busy [ms],Total DL [MB],Total UP [MB],Current DL rate [KB/s],Current UP rate [KB/s],Charge Rate [W],Estimated Remaining Time [mins]
9.7.2024,10:20.7,50.1,4972,2942,62.8,0.975,0.96,0.955,0.957,1.027,0.871,0.748,3573.4,3481.7,3481.7,3481.7,3848.2,91.6,3206.9,211.5,484.3,61.5,355.9,123.6,255.2,102.7,153.6,155.2,211.5,5.9,12.1,2.1,9.4,3.6,6.9,3.8,4.4,5.2,12.1,5.9,100,16.1,36.6,4.9,26.9,9.7,19.2,7.8,11.6,11.7,16.1,39,38,38,38,42,35,52,51,53,53,49,48,49,47,47,51,54,53,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,59,59,52,0.73,10.254,7.511,2.87,0.265,11.91,1.604,0.492,1.056,51,15,51,51,450,2,0,0,0,0,0,426,2,61.8,5.5,12.5,1.6,9.2,3.1,6.5,2.6,4,4.1,82.5,77.8,80.2,84.8,87.4,1954.7,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,42,93,100,No,No,31106,72428,0,0.1,0.1,0.018,0.359,140440,60621,15.089,25.47,75.4,36.3,9.8,9.5,101.6,0.75,615,55,0,0,-9.54,160.2
9.7.2024,10:22.7,50.2,4978,2936,62.9,1.012,0.96,1.027,1.032,1.027,0.888,0.751,3756.6,3481.7,3848.2,3848.2,3848.2,91.6,3298.5,310.5,600.5,200.2,513.3,117.2,318.9,177.1,221.3,335.9,310.5,7.9,15.8,5,12.8,3.6,8,4.4,5.6,8.4,15.8,7.9,100,23.3,45.3,14.9,37.7,9.1,24.2,13.5,16.8,24.9,23.3,41,38,42,42,42,36,51,52,52,51,48,49,48,48,49,52,52,52,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,59,59,52,0.73,5.274,8.857,4.276,0.267,13.517,1.642,0.544,1.014,51,15,51,51,450,1.7,0,0,0,0,0,427,2,54.9,8,15.6,5.1,13,3,8.3,4.6,5.8,8.6,78.3,72.1,79.3,80.2,81.6,1954.7,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,42,93,100,No,No,31106,72428,0,0.3,0.4,0.008,1.105,140440,60624,14.921,25.455,75.4,36.3,13.1,12.8,76.36,0.92,615,55,0.088,0.034,-14.175,107.7
9.7.2024,10:24.7,50,4943,2971,62.4,1.012,0.96,1.03,1.032,1.027,0.871,0.751,3756.6,3481.7,3848.2,3848.2,3848.2,91.6,3206.9,173.1,427.9,47,293.9,64.5,191.8,71.5,182.6,105.6,173.1,4.2,10.6,1.1,7,1.5,4.6,1.6,4.3,2.5,10.6,4.2,100,13.1,32.8,3.6,22,5.2,14.6,5.6,13.5,7.9,13.1,41,38,42,42,42,35,51,51,53,52,48,49,49,47,48,52,53,53,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,59,59,53,0.73,5.274,6.912,2.46,0.278,11.188,1.588,0.46,0.965,51,15,51,51,450,1,0,0,0,0,0,427,2,63.9,4.4,11.1,1.2,7.4,1.7,4.9,1.8,4.6,2.7,86.1,80.3,86,88.2,89.8,1954.7,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,42,93,100,No,No,31106,72428,0,0.1,0.1,0,0.273,140440,60624,15.11,25.455,75.4,36.3,13.2,13.3,75.78,0.8,615,55,0.059,0.053,-9.99,152.9
9.7.2024,10:26.7,49.9,4938,2976,62.3,1.031,1.035,1.027,1.032,1.027,0.871,0.751,3848.2,3848.2,3848.2,3848.2,3848.2,91.6,3206.9,177.2,445.7,77.9,247.7,52.2,196.7,74.9,175.7,146.8,177.2,4,11.1,1.1,6,0.4,4.7,1,4.2,3.5,11.1,4,100,13.3,33.8,5.8,18.1,4.2,15,5.8,13.3,10.7,13.3,42,42,42,42,42,35,50,51,51,51,48,50,49,49,49,52,53,51,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,58,58,52,0.73,5.566,7.126,2.404,0.232,11.427,1.601,0.481,1.126,51,15,51,51,450,0.7,0,0,0,0,0,427,2,64.5,4.5,11.5,2,6.1,1.4,5,1.9,4.4,3.6,86.4,79.7,89.3,88.5,88.2,1954.7,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,43,93,100,No,No,31106,72428,0,0.2,0.3,0.024,0.561,140440,60625,15.076,25.44,75.3,36.3,14.9,15.1,67.15,0.67,615,55,0,0,-12.795,119.3
9.7.2024,10:28.7,49.9,4939,2975,62.4,1.031,1.035,1.027,1.032,1.027,0.871,0.751,3848.2,3848.2,3848.2,3848.2,3848.2,91.6,3206.9,146.1,438.5,67,203.1,66.5,95.8,116.7,131.9,49.3,146.1,3.6,10.9,1.6,4.8,2.3,2.2,2.7,3.1,1.1,10.9,3.6,100,11.1,32.8,5,15.3,5.3,7.6,8.8,10.1,4.1,11.1,42,42,42,42,42,35,50,49,51,51,48,50,51,49,49,52,52,51,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,58,58,51,0.73,6.152,6.483,2.116,0.261,10.304,1.569,0.462,0.798,51,15,51,51,450,0.8,0,0,0,0,0,427,2,69,3.7,11.2,1.7,5.1,1.7,2.5,2.9,3.3,1.4,88.1,82.2,88.9,90,91.3,1954.7,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,42,93,100,No,No,31106,72428,0,0.1,0.1,0,0.145,140440,60625,15.132,25.44,75.3,36.3,11.5,11.6,87.18,0.7,615,55,0.059,0.021,-10.86,140.6
9.7.2024,10:30.8,49.9,4937,2977,62.3,0.993,0.96,1.027,0.957,1.027,0.888,0.751,3665,3481.7,3848.2,3481.7,3848.2,91.6,3206.9,139.6,428,50.2,225.6,56.5,117.5,62.2,118.3,58.5,139.6,3.3,10.6,1.9,5.3,0.5,2.8,2.1,2.6,0.5,10.6,3.3,100,10.7,32.2,3.8,16.5,4.7,9.1,4.8,9.2,5,10.7,40,38,42,38,42,35,50,52,50,52,48,50,48,50,48,52,52,52,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,59,59,51,0.73,9.668,6.184,1.926,0.226,10.256,1.558,0.438,0.866,51,15,51,51,450,0.6,0,0,0,0,0,427,2,69.6,3.6,11,1.3,5.6,1.5,3,1.6,3.1,1.6,88,82,89,91.1,90.1,1954.7,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,43,93,100,No,No,31106,72428,0,0.2,0.2,0,0.542,140440,60626,15.045,25.44,75.3,36.3,9.7,9.8,103.57,0.77,615,55,0,0,-11.79,129.4
9.7.2024,10:32.8,49.9,4937,2977,62.3,1.031,1.035,1.027,1.032,1.027,0.888,0.751,3848.2,3848.2,3848.2,3848.2,3848.2,91.6,3298.5,139.2,448.2,124.8,149.8,42.8,148.5,63.4,97.5,38.9,139.2,3.2,11.1,2.9,3.5,0.9,3.5,0.6,2.2,0.8,11.1,3.2,100,10.6,33.6,9.1,11,3.5,11.7,5,7.5,3.2,10.6,42,42,42,42,42,36,50,51,51,51,49,50,49,49,49,51,52,51,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,58,58,51,0.73,6.152,6.114,1.789,0.23,10.201,1.551,0.421,0.869,51,15,51,51,450,0.5,0,0,0,0,0,427,2,69.8,3.5,11.5,3.1,3.7,1.1,3.8,1.6,2.5,1,88.6,80,92.2,89.6,92.8,1954.7,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,42,93,100,No,No,31106,72428,0,0.1,0.1,0,0.367,140440,60627,14.996,25.425,75.3,36.3,8.3,8.4,120.13,0.79,615,55,0.029,0,-12.735,119.8
9.7.2024,10:34.8,49.9,4936,2977,62.3,1.012,0.96,1.027,1.032,1.027,0.871,0.751,3756.6,3481.7,3848.2,3848.2,3848.2,91.6,3206.9,138.6,415.1,47,216,36.7,161.9,59.8,120.7,51.2,138.6,4.4,11,1.9,5.9,2.4,4.7,2.9,3.5,2.7,11,4.4,100,10.6,31.1,3.5,15.8,3,12.3,4.6,10,4.3,10.6,41,38,42,42,42,35,50,51,49,50,48,50,49,51,50,52,52,51,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,59,59,51,0.732,6.152,6.23,1.903,0.22,10.107,1.554,0.421,0.81,51,15,51,51,450,0.5,0,0,0,0,0,427,2,70.1,3.5,10.5,1.2,5.3,1,4.1,1.5,3.3,1.3,88.4,83.5,90.7,90.3,89,1954.7,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,42,93,100,No,No,31106,72428,0,0.1,0.1,0,0.29,140440,60628,14.953,25.425,75.3,36.3,7.5,7.6,134.11,0.76,615,55,0.058,0,-9,169.5
9.7.2024,10:36.8,49.9,4936,2977,62.3,1.012,1.035,1.027,0.957,1.027,0.888,0.751,3756.6,3848.2,3848.2,3481.7,3848.2,91.6,3298.5,139.8,417.6,17.2,220.4,63,111.5,74.6,139.9,74.3,139.8,3.1,10.3,0.3,5.2,1.4,1.9,1.7,3.2,0.9,10.3,3.1,100,10.7,31.3,1.4,16.1,5.2,8.4,5.7,11.1,6.1,10.7,41,42,42,38,42,36,51,50,53,50,52,49,50,47,50,48,53,53,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,59,59,51,0.73,5.566,6.365,1.995,0.191,10.306,1.569,0.464,0.902,51,15,51,51,450,0.8,0,0,0,0,0,427,2,69.9,3.6,10.6,0.5,5.5,1.6,2.8,1.9,3.7,1.9,88.3,83.7,89.1,91.7,88.6,1954.7,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,42,93,100,No,No,31106,72428,0,0.1,0.1,0,0.285,140440,60628,15.135,25.425,75.3,36.3,6.8,6.9,146.4,0.75,615,55,0,0,-8.31,183.6
9.7.2024,10:38.8,49.9,4936,2978,62.3,1.031,1.035,1.027,1.032,1.03,0.888,0.748,3848.2,3848.2,3848.2,3848.2,3848.2,91.6,3298.5,139.7,433.4,20.5,211,54.5,136.1,71.8,132.3,57.7,139.7,3.3,10.6,0,4.9,0.4,3.9,1.5,3,2,10.6,3.3,100,10.6,32.7,1.6,15.6,4.4,10.5,5.5,10,4.6,10.6,42,42,42,42,42,36,52,53,51,52,53,48,47,49,48,47,53,53,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,58,58,51,0.73,6.152,6.043,1.739,0.224,10.244,1.56,0.444,0.869,51,15,51,51,450,0.7,0,0,0,0,0,427,2,69.6,3.6,11.1,0.6,5.2,1.4,3.5,1.8,3.4,1.5,88.5,82.5,90,90.5,91,1954.7,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,42,93,100,No,No,31106,72428,0,0.1,0.1,0,0.275,140440,60629,15.099,25.41,75.2,36.3,6.2,6.3,161.34,0.81,615,55,0.088,0.034,-8.16,186.8
9.7.2024,10:40.8,49.9,4935,2979,62.3,0.994,0.96,0.955,1.032,1.027,0.888,0.751,3665,3481.7,3481.7,3848.2,3848.2,91.6,3298.5,138.5,425.8,26.9,227.3,58.6,152.2,56.6,124.1,36.5,138.5,3.4,10.5,1.3,5.3,2,3.6,1.2,2.8,0.8,10.5,3.4,100,10.6,31.9,2.1,17.1,5,11.5,4.4,9.4,3.1,10.5,40,38,38,42,42,36,51,49,51,50,53,49,51,49,50,47,53,53,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,58,58,52,0.732,9.668,6.354,1.972,0.225,10.163,1.555,0.416,0.881,51,15,51,51,450,0.4,0,0,0,0,0,427,2,70.2,3.5,10.8,0.7,5.7,1.5,3.8,1.4,3.2,1,88.6,83.5,88,90.9,91.9,1954.7,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,42,93,100,No,No,31106,72428,0,0.1,0.1,0,0.354,140440,60629,15.122,25.41,75.2,36.3,5.9,6,170.15,0.83,615,55,0,0,-8.58,177.7
9.7.2024,10:42.8,49.9,4935,2979,62.3,0.976,0.96,0.955,1.032,0.955,0.888,0.751,3573.4,3481.7,3481.7,3848.2,3481.7,91.6,3298.5,142.4,417.3,44.5,191.4,62,95.5,87.2,201.7,39.7,142.4,3.4,10.4,1,4.6,1.4,2.3,2,4.8,0.9,10.4,3.4,100,10.9,31.4,3.3,13.9,5.2,7.6,6.7,15.4,3.3,10.9,39,38,38,42,38,36,50,48,50,50,51,50,52,50,50,49,53,51,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,58,58,51,0.73,6.445,6.426,2.064,0.238,10.24,1.55,0.421,0.874,51,15,51,51,450,0.5,0,0,0,0,0,427,2,70,3.6,10.7,1.1,4.7,1.7,2.5,2.2,5.1,1,88.2,82.9,89.8,90.9,89.1,1954.7,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,42,93,100,No,No,31106,72428,0,0.1,0.1,0,0.311,140440,60630,15.094,25.41,75.2,36.3,5.5,5.6,180.34,0.79,615,55,2.771,0,-10.665,142.9
9.7.2024,10:44.8,49.9,4934,2980,62.3,1.031,1.035,1.027,1.032,1.03,0.888,0.751,3848.2,3848.2,3848.2,3848.2,3848.2,91.6,3298.5,144,414.7,44.3,292.5,46.9,173.9,62.8,88.3,28.4,144,4,10.9,1,7.7,1.8,4.9,2.1,2.8,0.6,10.9,4,100,10.9,31.3,3.3,21.8,3.9,13.4,4.9,6.7,2.3,10.9,42,42,42,42,42,36,51,49,52,50,53,49,51,48,50,47,53,53,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,60,60,51,0.732,5.566,6.562,2.264,0.197,10.304,1.554,0.426,0.907,51,15,51,51,450,0.4,0,0,0,0,0,427,2,69.3,3.7,10.6,1.1,7.3,1.2,4.4,1.6,2.3,0.8,88.3,82.8,86.9,89.5,94,1954.7,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,42,93,100,No,No,31106,72428,0,0.1,0.1,0,0.381,140440,60631,15.1,25.395,75.2,36.3,5.6,5.6,180.13,0.74,615,55,0.058,0,-12.975,117.4
9.7.2024,10:46.8,49.9,4934,2980,62.3,1.012,0.96,1.027,1.032,1.03,0.888,0.748,3756.6,3481.7,3848.2,3848.2,3848.2,91.6,3298.5,151.9,370.9,27,242.8,77.8,216.7,63.3,121.9,95,151.9,3.4,9.1,0.5,5.8,0.9,5.1,0.6,2.4,2.9,9.1,3.4,100,11.4,28.2,2.1,18,6.4,16.5,4.9,8,7,11.4,41,38,42,42,42,36,52,49,49,50,61,48,51,51,50,39,51,61,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,58,58,51,0.732,6.445,6.45,1.962,0.213,10.557,1.567,0.473,0.962,51,15,51,51,450,0.6,0,0,0,0,0,427,2,68.2,3.9,9.5,0.7,6,2,5.5,1.6,3.1,2.4,87.8,84.1,87.5,88,91.6,1954.7,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,42,93,100,No,No,31106,72428,0,0.1,0.1,0.008,0.32,140440,60631,15.079,25.395,75.2,36.3,5.1,5.2,194.44,0.72,615,55,2.741,0,-10.875,140.1
